,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
29,Infauna,0,0,0,0,0.03053515,0,0,0.002310439,0,0,0,0.01108638,0.005211627,0.0155079,0,0.01191158,0.04150404,0.02217368,0.01123507,0,0.1403898,0,0.02560937,0.04696286,0.03296494,0.03158339,0.03930193,0.02024904,0.005238577,0.03015623,0,0.006595503,0,0,0,
30,Gastropods,0,0.01133453,0,0.0213987,0.2239244,0,0,0.002714575,0,0,0.01127448,0.06283884,0.01466221,0.02154275,0.07013021,0.06252516,0.2134314,0.132211,0,0,0.1030471,0,0.09175074,0.08981568,0.04853388,0.0418211,0,0.01012452,0,0,0,0,0,0,0,
31,Mussel,0,0.03834947,0.004509391,0.01074066,0.1863291,0.05268704,0,0.001357287,0,0,0.01127448,0.1189956,0.02946245,0.01447404,0.1187848,0.1694657,0.02879632,0.09978158,0,0,0.1442659,0,0.08285628,0.1502766,0,0.02964716,0,0,0.04787565,0.0360296,0,0.002638201,0,0,0,
32,Equinoderms,0,0,0,0,0.001023472,0,0,0,0,0,0,0.04903566,0,0.002127065,0.01041538,0.02027233,0,0.02073657,0,0,0.004916362,0,0,0.005103833,0.001032057,0.005132256,0,0,0,0,0,0,0,0,0,
33,"Sessile Fauna",0,0,0,0,0,0.02002107,0,0,0,0,0,0.1341914,0.07843888,0.01077138,0,0.1250503,0.07470101,0,0,0,0,0,0.03991254,0.02965005,0,0.01482358,0,0.01908381,0.001341685,0.07205919,0,0,0,0,0,
34,Jellyfish,0,0,0,0,0,0.03161222,0,0.08143723,0,0,0,0,0.03126976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05983743,0,
35,Zooplankton,0,0,0,0.5051838,0.271024,0,0.5739503,0.3310938,0.2710836,0,0.02254896,0.2643681,0.09697472,0.1304542,0,0.2033327,0.3825359,0.02004262,0.19214,0.06015954,0.1819856,0.06016762,0.1206543,0.1723613,0.4545675,0.1974754,0.2152675,0.1721169,0.1675648,0.0360296,0.04658315,0,0.05162303,0.762684,0.1463976,
36,Macroalgae,0,0,0,0,0,0.3688093,0,0,0,0,0,0.09616703,0.3934125,0.04414913,0,0.09037007,0,0,0,0,0.0431575,0,0,0.02072782,0.2691138,0.264084,0,0,0,0.2068575,0,0.1540092,0,0,0,
37,Seagrass,0,0,0,0,0,0.5268704,0,0,0,0,0,0,0.02909241,0,0,0,0.05744182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05099225,0,0,0,
38,Phytopankton,0,0,0,0,0,0,0.4260497,0.1900202,0.01359522,0,0,0,0.1323222,0.155079,0,0,0.0373684,0,0.001518654,0,0,0,0,0,0,0,0.09692392,0.1012452,0.2992228,0.2585719,0.7801008,0.2082304,0.5678533,0.1077074,0.6015499,
39,Detritus,0,0,0,0,0,0,0,0.3216771,0,0,0,0.01206848,0.1529412,0.5953534,0,0,0.04308137,0.1108684,0,0,0.03236813,0,0.3720174,0.07499634,0.1433258,0.3450241,0.6485067,0.6741431,0.4787565,0.360296,0.1733161,0.5775345,0.3805237,0,0.2520525,
,Import,0,0.0798614,0,0,0.07565346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Sum,0.9999999,1,1,1,1,1,1,1,0.9999999,1,0.9999999,1,1,1,1,0.9999999,1,1,0.9999999,1,1,1,1,1,1,1,1,1,1,0.9999999,1,1,1,1,1,
,"(1 - Sum)",5.960464E-08,0,-1.192093E-07,0,0,0,0,0,1.192093E-07,-1.192093E-07,5.960464E-08,0,0,0,-1.192093E-07,5.960464E-08,0,0,5.960464E-08,0,0,0,0,0,0,0,0,0,0,5.960464E-08,0,0,0,0,0,
